id,name,rating,price level
f1UXpvAVRY4FtUS2Eo1edA,Phoenician Resto Cafe,4.5,$$$
exNtQAqA-v0J6fQx-Dz53A,Epicerie Cafe & Grocery,4.0, 
ewoEi_2LXaCxjXyFEG7_4w,Tsuke Edomae,5.0,$$
eoi6PiSmiXawmdTWFBXpCA,Oye Chico,4.5, 
enKiN9Dp2PNB5bsBO94LUw,Chili's,3.0, 
ehaOHDQ6EzXavMCaQ0nXvw,Workhorse Bar,4.5, 
egxBLqxYJvjOGJ9P-Dw--A,Gyu-Kaku Japanese BBQ,3.5, 
eePu5tB1aLh5Ctre30cWnw,Saffron,4.5,$$
edupJ_ysmC7L1JUdlgBDTQ,Ike's Love & Sandwiches,4.5,$$
ec6X_eh2wyzFLqHbApAsuw,Pepe’s Tacos,4.5, 
eZE0FdYB9rUvbuPS4fNyYA,Arturo's Underground Cafe,4.5,$$
eUD2rCO5pfus19UN34Cgzw,FoodHeads,4.5, 
eTJmpIFKCnV9-gimd4Jqwg,The Texa Rican 512,5.0,$$
eQxWPpAvGlCj1wzg_4CW_w,SouthCloud Ramen,3.5,$$
eMOy9BUQIUTGjKsytxAcGw,Poke House - Austin,4.0,$$
eMIcEhhGtRHKmzt_hdchhA,The Cuban Corner,4.5,$$
eL_JhE6smEo128qAdiUr0Q,1417 French Bistro,4.0,$$
eJ7X_8KXVlyHZtGrrLz4yg,Lamberts Downtown Barbecue,4.0,$$
eHDuMjr4ousmmB4g9EDcQw,Three Forks. Austin Tx,5.0,$$
eEhk-Svs94ZiT5WgvTTHHg,KA Bean Crew,5.0,$$$
eDAQ_dfy-bik-GWg20_CUw,EastSide ATX,3.5,$$
eCrgBu-H10vLqFpiX2oghg,Sammie’s Italian,4.0,$$
eBfy7Xk1O-56J-KkdaGG1g,Coat & Thai,4.0,$$
dsqmIQtNB21J3g-56mVmsg,Cover 3,4.0,$$
dolyCD0MHbdzFucJuPNtLA,The Grub House,4.5,$$
dlazRE48_F2Z37ZRPTiItA,Eurasia Ramen 3,4.5, 
digUTaXtbnaO9rL1oCfhHQ,Julio's Café,4.0, 
de4NckKM0aX-sPJ8KrxWjA,Bluefin Sushi Bar & Ramen,4.5, 
dYkscK94bZG-VAXVx2L79Q,Summer House on Music Lane,4.0,$$
dOQPeXu27YmjYFfV5tX-Zg,Bulevar,4.5,$$
d9t0YcIVpw9KgsqkJLfsyQ,Wink,4.0,$$
cyD2wGtrOpy8Fr2HMc7SLQ,FTG ATX,5.0,$$
cs6HfZNykLVitm09jWFqWg,Moonshine Patio Bar & Grill,4.5,$$
